HEADER:,V_BAT,I_BAT,PEDAL_TIME,WHEEL_TIME,GPS_DATE,GPS_TIME,GPS_LAT,GPS_LNG
MEDIDA:,0,0,0,0,DD/MM/AA,HH:MM:SS.CS,LAT,LNG
MEDIDA:,0,0,692,330,29/8/2017,22:41:10.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,687,327,29/8/2017,22:41:11.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,687,381,29/8/2017,22:41:12.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,687,420,29/8/2017,22:41:13.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,687,483,29/8/2017,22:41:14.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,669,29/8/2017,22:41:15.50,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,952,29/8/2017,22:41:17.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1455,29/8/2017,22:41:18.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1198,29/8/2017,22:41:19.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,728,29/8/2017,22:41:20.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,2197,659,29/8/2017,22:41:20.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,2197,497,29/8/2017,22:41:22.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,1889,481,29/8/2017,22:41:23.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,970,436,29/8/2017,22:41:24.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,888,412,29/8/2017,22:41:25.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,840,391,29/8/2017,22:41:26.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,804,384,29/8/2017,22:41:26.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,772,367,29/8/2017,22:41:28.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,744,341,29/8/2017,22:41:29.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,728,343,29/8/2017,22:41:30.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,728,324,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,728,333,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,2434,324,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,672,310,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,672,306,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,672,306,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,672,312,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,340,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,337,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,349,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,377,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,787,379,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,804,392,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,821,401,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,846,403,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,844,404,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,846,409,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,866,419,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,887,427,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,903,443,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,903,482,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,903,522,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,903,537,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,602,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,697,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,859,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,969,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1218,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1218,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1218,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
MEDIDA:,0,0,0,1218,29/8/2017,22:41:31.00,0.000000,0.000000,0.000000
STOP
