type,latitude,longitude,altitude (m),name
T,4.717758,-74.0471,2554.3,
T,4.717728,-74.0471,2554.3,
T,4.717695,-74.04709,2554.2,
T,4.717657,-74.04709,2554.2,
T,4.717618,-74.04708,2554.1,
T,4.717583,-74.04706,2554,
T,4.717552,-74.04704,2554,
T,4.717515,-74.04701,2553.8,
T,4.717475,-74.047,2553.8,
T,4.717438,-74.04698,2553.8,
T,4.717403,-74.04697,2553.9,
T,4.717363,-74.04697,2553.9,
T,4.717325,-74.04698,2554,
T,4.717287,-74.04699,2554,
T,4.717252,-74.047,2554.1,
T,4.717217,-74.04701,2554.1,
T,4.717182,-74.04701,2554.2,
T,4.717145,-74.04701,2554.2,
T,4.717103,-74.04702,2554.3,
T,4.717063,-74.04702,2554.3,
T,4.71702,-74.04703,2554.3,
T,4.716977,-74.04704,2554.4,
T,4.716937,-74.04705,2554.4,
T,4.716892,-74.04706,2554.4,
T,4.71685,-74.04707,2554.4,
T,4.716803,-74.04707,2554.5,
T,4.716755,-74.04708,2554.5,
T,4.716707,-74.04709,2554.5,
T,4.716658,-74.0471,2554.5,
T,4.71661,-74.0471,2554.5,
T,4.71656,-74.04711,2554.6,
T,4.716513,-74.04712,2554.6,
T,4.716467,-74.04712,2554.7,
T,4.71642,-74.04713,2554.7,
T,4.716373,-74.04714,2554.8,
T,4.716325,-74.04714,2554.8,
T,4.716278,-74.04715,2554.8,
T,4.716228,-74.04715,2554.9,
T,4.716183,-74.04716,2554.9,
T,4.716138,-74.04716,2555,
T,4.716095,-74.04717,2555,
T,4.716052,-74.04718,2555,
T,4.716008,-74.04719,2555,
T,4.715967,-74.0472,2555,
T,4.715922,-74.04721,2555,
T,4.715877,-74.04722,2555,
T,4.715833,-74.04723,2554.9,
T,4.715793,-74.04723,2555.1,
T,4.715752,-74.04723,2555.2,
T,4.71571,-74.04724,2555.2,
T,4.71567,-74.04725,2555.3,
T,4.715632,-74.04726,2555.3,
T,4.71559,-74.04727,2555.3,
T,4.715547,-74.04728,2555.4,
T,4.715505,-74.04729,2555.4,
T,4.715468,-74.04729,2555.5,
T,4.715432,-74.0473,2555.5,
T,4.715395,-74.0473,2555.6,
T,4.715355,-74.04731,2555.6,
T,4.715313,-74.04731,2555.8,
T,4.715273,-74.04732,2555.8,
T,4.715233,-74.04732,2555.9,
T,4.715195,-74.04733,2555.9,
T,4.715155,-74.04733,2556,
T,4.715115,-74.04734,2556,
T,4.715073,-74.04734,2556.2,
T,4.715032,-74.04735,2556.2,
T,4.714993,-74.04736,2556.2,
T,4.71495,-74.04736,2556.3,
T,4.71491,-74.04737,2556.4,
T,4.714867,-74.04738,2556.4,
T,4.714827,-74.04739,2556.5,
T,4.714785,-74.0474,2556.5,
T,4.714745,-74.04741,2556.6,
T,4.714707,-74.04742,2556.6,
T,4.714667,-74.04742,2556.8,
T,4.714625,-74.04743,2556.8,
T,4.714585,-74.04744,2556.9,
T,4.714548,-74.04744,2557,
T,4.714508,-74.04744,2557.1,
T,4.71447,-74.04744,2557.3,
T,4.714428,-74.04745,2557.4,
T,4.714388,-74.04746,2557.4,
T,4.714347,-74.04746,2557.6,
T,4.714307,-74.04747,2557.7,
T,4.714263,-74.04747,2557.8,
T,4.714222,-74.04748,2557.9,
T,4.714177,-74.04749,2558,
T,4.714133,-74.0475,2557.9,
T,4.714088,-74.0475,2557.8,
T,4.714045,-74.0475,2557.7,
T,4.713993,-74.0475,2557.6,
T,4.713953,-74.04751,2557.5,
T,4.713912,-74.04752,2557.3,
T,4.713868,-74.04754,2557.2,
T,4.713827,-74.04755,2557.1,
T,4.713785,-74.04756,2557,
T,4.713743,-74.04757,2556.9,
T,4.7137,-74.04758,2556.7,
T,4.713657,-74.04759,2556.6,
T,4.713612,-74.0476,2556.5,
T,4.713567,-74.04761,2556.4,
T,4.713513,-74.04761,2556.3,
T,4.713465,-74.04762,2556.1,
T,4.713415,-74.04762,2556,
T,4.713365,-74.04763,2555.9,
T,4.713312,-74.04764,2555.9,
T,4.713258,-74.04765,2556.1,
T,4.713202,-74.04766,2556.2,
T,4.713148,-74.04767,2556.4,
T,4.71309,-74.04767,2556.6,
T,4.713032,-74.04768,2556.7,
T,4.712977,-74.04769,2556.9,
T,4.712922,-74.04769,2557,
T,4.712868,-74.0477,2557.2,
T,4.712812,-74.04771,2557.3,
T,4.712757,-74.04772,2557.4,
T,4.712702,-74.04773,2557.6,
T,4.71265,-74.04773,2557.7,
T,4.712603,-74.04774,2557.8,
T,4.712555,-74.04776,2557.9,
T,4.712505,-74.04777,2558,
T,4.712448,-74.04778,2558,
T,4.712398,-74.04779,2558,
T,4.712345,-74.04779,2558,
T,4.7123,-74.0478,2558,
T,4.712252,-74.04781,2558,
T,4.712203,-74.04781,2558,
T,4.712155,-74.04782,2558,
T,4.712128,-74.04784,2558,
T,4.712088,-74.04785,2557.9,
T,4.712043,-74.04786,2557.9,
T,4.712,-74.04787,2557.9,
T,4.711958,-74.04789,2557.9,
T,4.711917,-74.0479,2557.9,
T,4.71187,-74.04791,2557.9,
T,4.711822,-74.04792,2557.9,
T,4.711775,-74.04792,2557.9,
T,4.711728,-74.04793,2557.9,
T,4.711685,-74.04795,2557.9,
T,4.711643,-74.04797,2557.9,
T,4.711585,-74.04797,2557.8,
T,4.71151,-74.04795,2557.8,
T,4.711452,-74.04794,2557.8,
T,4.711395,-74.04794,2557.8,
T,4.711338,-74.04794,2557.8,
T,4.711285,-74.04795,2557.7,
T,4.711235,-74.04796,2557.7,
T,4.711187,-74.04797,2557.7,
T,4.711143,-74.04798,2557.7,
T,4.711092,-74.04799,2557.7,
T,4.711043,-74.048,2557.7,
T,4.710988,-74.048,2557.6,
T,4.710938,-74.04801,2557.6,
T,4.710887,-74.04802,2557.6,
T,4.710835,-74.04802,2557.6,
T,4.710783,-74.04802,2557.5,
T,4.71074,-74.04803,2557.5,
T,4.710703,-74.04803,2557.4,
T,4.710672,-74.04804,2557.3,
T,4.710638,-74.04804,2557.3,
T,4.710602,-74.04804,2557.2,
T,4.710557,-74.04805,2557.1,
