type,latitude,longitude,altitude (m),name
T,4.674918,-74.04733,2570.9,
T,4.674962,-74.0473,2570.8,
T,4.675013,-74.04728,2570.6,
T,4.67506,-74.04726,2570.2,
T,4.675107,-74.04724,2569.8,
T,4.675168,-74.0472,2569.2,
T,4.675215,-74.04717,2568.8,
T,4.675257,-74.04715,2568.5,
T,4.675303,-74.04713,2568.2,
T,4.675352,-74.0471,2567.9,
T,4.6754,-74.04709,2567.6,
T,4.675448,-74.04706,2567.3,
T,4.675497,-74.04704,2567,
T,4.675567,-74.04699,2566.7,
T,4.675618,-74.04696,2566.5,
T,4.675668,-74.04694,2566.3,
T,4.675717,-74.04692,2566.1,
T,4.675773,-74.0469,2565.9,
T,4.675815,-74.04687,2565.8,
T,4.67586,-74.04685,2565.8,
T,4.675912,-74.04682,2566,
T,4.675953,-74.04679,2566.2,
T,4.675992,-74.04677,2566.4,
T,4.67604,-74.04674,2566.6,
T,4.67608,-74.04671,2566.8,
T,4.676118,-74.04668,2567,
T,4.676155,-74.04665,2567.2,
T,4.676195,-74.04663,2567.5,
T,4.676235,-74.0466,2567.7,
T,4.676275,-74.04657,2567.9,
T,4.67632,-74.04654,2568.1,
T,4.676367,-74.04652,2568.3,
T,4.676418,-74.04648,2568.5,
T,4.676472,-74.04645,2568.7,
T,4.676517,-74.04642,2568.8,
T,4.676555,-74.04639,2568.9,
T,4.6766,-74.04636,2568.9,
T,4.676647,-74.04633,2569,
T,4.676685,-74.04631,2568.9,
T,4.676722,-74.04632,2568.8,
T,4.676763,-74.04632,2568.7,
T,4.676805,-74.04631,2568.6,
T,4.676857,-74.04628,2568.4,
T,4.676925,-74.04626,2568.2,
T,4.676958,-74.04625,2568.1,
T,4.676997,-74.04623,2568,
T,4.677042,-74.04621,2567.9,
T,4.67709,-74.04618,2567.8,
T,4.67714,-74.04616,2567.6,
T,4.67719,-74.04614,2567.5,
T,4.677238,-74.04611,2567.4,
T,4.677283,-74.0461,2567.3,
T,4.677332,-74.04607,2567.2,
T,4.677383,-74.04604,2567.1,
T,4.677432,-74.04601,2567,
T,4.677477,-74.04599,2566.9,
T,4.67752,-74.04598,2566.8,
T,4.677575,-74.04596,2566.6,
T,4.677625,-74.04592,2566.5,
T,4.677667,-74.0459,2566.4,
T,4.677715,-74.04588,2566.2,
T,4.67777,-74.04586,2566,
T,4.677827,-74.04583,2565.8,
T,4.677868,-74.0458,2565.7,
T,4.677917,-74.04577,2565.5,
T,4.67797,-74.04573,2565.3,
T,4.678022,-74.04569,2565.2,
T,4.678078,-74.04567,2565,
T,4.67813,-74.04563,2564.9,
T,4.678188,-74.0456,2564.7,
T,4.678233,-74.04558,2564.6,
T,4.678277,-74.04555,2564.5,
T,4.678313,-74.04554,2564.4,
T,4.678358,-74.04551,2564.4,
T,4.678403,-74.04549,2564.4,
T,4.67845,-74.04548,2564.4,
T,4.678498,-74.04547,2564.3,
T,4.67855,-74.04545,2564.3,
T,4.6786,-74.04542,2564.3,
T,4.678652,-74.0454,2564.3,
T,4.678702,-74.04538,2564.3,
T,4.678757,-74.04535,2564.3,
T,4.678808,-74.04533,2564.3,
