type,latitude,longitude,altitude (m),name
T,4.708775,-74.04824,2554.9,
T,4.708723,-74.04825,2554.8,
T,4.708675,-74.04826,2554.7,
T,4.70863,-74.04827,2554.7,
T,4.708562,-74.04827,2554.6,
T,4.708512,-74.04828,2554.5,
T,4.708467,-74.04828,2554.4,
T,4.708423,-74.04829,2554.4,
T,4.708382,-74.04829,2554.3,
T,4.70834,-74.0483,2554.2,
T,4.708302,-74.04831,2554.1,
T,4.708263,-74.04831,2554,
T,4.70823,-74.04832,2553.8,
T,4.708203,-74.04832,2553.8,
T,4.708185,-74.04832,2553.7,
T,4.708182,-74.04832,2553.7,
T,4.70818,-74.04832,2553.7,
T,4.708182,-74.04832,2553.7,
T,4.708148,-74.04833,2553.6,
T,4.70814,-74.04834,2553.5,
T,4.70813,-74.04834,2553.5,
T,4.708117,-74.04834,2553.5,
T,4.708103,-74.04834,2553.5,
T,4.708087,-74.04835,2553.4,
T,4.708067,-74.04837,2553.4,
T,4.708065,-74.0484,2553.4,
T,4.708048,-74.04843,2553.4,
T,4.708023,-74.04844,2553.4,
T,4.707993,-74.04844,2553.3,
T,4.707952,-74.04843,2553.2,
T,4.707903,-74.04842,2553.1,
T,4.707852,-74.04843,2553,
T,4.707795,-74.04843,2552.9,
T,4.707738,-74.04843,2552.7,
T,4.707678,-74.04844,2552.6,
T,4.707618,-74.04844,2552.5,
T,4.707557,-74.04845,2552.4,
T,4.707495,-74.04846,2552.3,
T,4.707432,-74.04847,2552.2,
T,4.70737,-74.04847,2552.1,
T,4.707308,-74.04848,2552,
T,4.70725,-74.04849,2552,
T,4.707188,-74.04849,2551.9,
T,4.707128,-74.0485,2551.8,
T,4.707067,-74.0485,2551.7,
T,4.707007,-74.04851,2551.6,
T,4.706942,-74.04852,2551.5,
T,4.706878,-74.04853,2551.4,
T,4.706815,-74.04853,2551.3,
T,4.706753,-74.04854,2551.2,
T,4.70669,-74.04855,2551,
T,4.70663,-74.04855,2551,
T,4.70657,-74.04856,2551.1,
T,4.706508,-74.04856,2551.2,
T,4.70645,-74.04857,2551.3,
T,4.70639,-74.04857,2551.3,
T,4.706325,-74.04858,2551.4,
T,4.706262,-74.04858,2551.5,
T,4.7062,-74.04859,2551.6,
T,4.706138,-74.0486,2551.6,
T,4.706077,-74.0486,2551.7,
T,4.706017,-74.04861,2551.8,
T,4.705958,-74.04861,2551.8,
T,4.705902,-74.04862,2551.9,
T,4.705848,-74.04862,2552,
T,4.705793,-74.04863,2552,
T,4.705743,-74.04863,2552,
T,4.705702,-74.04864,2552,
T,4.705672,-74.04867,2552,
T,4.705642,-74.0487,2552.1,
T,4.705595,-74.04873,2552.1,
T,4.705537,-74.04875,2552.2,
T,4.705478,-74.04877,2552.2,
T,4.705422,-74.04879,2552.3,
T,4.705363,-74.04881,2552.4,
T,4.705308,-74.04882,2552.5,
T,4.705255,-74.04883,2552.5,
T,4.705207,-74.04884,2552.6,
T,4.705148,-74.04885,2552.7,
T,4.705085,-74.04886,2552.8,
T,4.705022,-74.04887,2552.9,
T,4.704957,-74.04888,2552.9,
T,4.704892,-74.04888,2552.8,
T,4.704828,-74.04889,2552.7,
T,4.704767,-74.0489,2552.6,
T,4.704705,-74.04891,2552.5,
T,4.70464,-74.04892,2552.4,
T,4.704578,-74.04893,2552.3,
T,4.704515,-74.04894,2552.2,
T,4.704453,-74.04895,2552.1,
T,4.70439,-74.04897,2552,
T,4.70433,-74.04898,2551.9,
T,4.704267,-74.04899,2551.8,
T,4.704203,-74.049,2551.7,
T,4.704138,-74.04901,2551.7,
T,4.704075,-74.04902,2551.7,
T,4.704008,-74.04903,2551.8,
T,4.70394,-74.04904,2551.9,
T,4.703873,-74.04905,2552,
T,4.703807,-74.04906,2552,
T,4.70374,-74.04907,2552.1,
T,4.703675,-74.04908,2552.1,
T,4.703613,-74.04908,2552.1,
T,4.70355,-74.04909,2552.2,
T,4.70349,-74.0491,2552.2,
T,4.703435,-74.04912,2552.1,
T,4.703383,-74.04912,2552.2,
T,4.703335,-74.04913,2552.1,
T,4.703287,-74.04914,2552,
T,4.70324,-74.04915,2552,
T,4.703192,-74.04916,2551.9,
T,4.703142,-74.04916,2551.8,
T,4.703085,-74.04917,2551.7,
T,4.703022,-74.04918,2551.6,
T,4.702953,-74.04919,2551.5,
T,4.702883,-74.0492,2551.5,
T,4.70281,-74.04922,2551.4,
T,4.702735,-74.04923,2551.3,
T,4.702663,-74.04924,2551.2,
T,4.702592,-74.04926,2551.1,
T,4.702518,-74.04927,2551,
T,4.702443,-74.04929,2551.1,
T,4.702368,-74.0493,2551.2,
T,4.702297,-74.04931,2551.2,
T,4.702227,-74.04932,2551.3,
T,4.70216,-74.04933,2551.4,
T,4.702093,-74.04934,2551.5,
T,4.702028,-74.04935,2551.6,
T,4.701968,-74.04936,2551.6,
T,4.701915,-74.04937,2551.7,
T,4.701878,-74.04937,2551.7,
T,4.701838,-74.04939,2551.8,
T,4.701783,-74.0494,2551.9,
T,4.701735,-74.0494,2551.9,
T,4.701677,-74.04941,2552,
T,4.701613,-74.04943,2552,
T,4.701548,-74.04945,2552.1,
T,4.701482,-74.04946,2552.2,
T,4.701415,-74.04948,2552.2,
